source_slug,source_l3_scenario_id,skill_id,source_l2_scenario_id,farming_group,task_type,l2_biological_yield_kg,l2_recovered_yield_kg,l2_donothing_biological_yield_kg,l3_biological_yield_kg,l3_recovered_yield_kg,l2_vs_l3_bio_delta_pct,l2_vs_l3_recovered_delta_pct,skill_oracle_events_empty,non_dict_oracle_event_entries,card_missing_flow_major_actions,flow_major_actions_not_in_card,card_major_actions,flow_major_actions
hb_fertilizer_quota_edge_lowfertility,scenario_full_season_hb_fertilizer_quota_edge_lowfertility,harvest_dry_store,scenario_l2_hb_fertilizer_quota_harvest_dry_store,harvest,harvest_postharvest,8602.17,7837.38,8602.17,8602.17,7923.32,0.0,-1.085,False,0,,,"{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}","{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}"
hb_heihe43_early_density_weed_nutrient_recovery,scenario_full_season_hb_heihe43_early_density_weed_nutrient_recovery,heihe43_recommended_density_planting,scenario_l2_hb_heihe43_recommended_density_planting,establishment,planting,8778.32,0.0,0.0,9109.85,8665.06,-3.639,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
hb_heihe43_early_density_weed_nutrient_recovery,scenario_full_season_hb_heihe43_early_density_weed_nutrient_recovery,heihe43_vc_nutrient_recovery,scenario_l2_hb_heihe43_nutrient_recovery,management,fertigation,8911.02,0.0,8828.2,9109.85,8665.06,-2.183,-100.0,False,0,,,"{""apply_fertigation"": 1}","{""apply_fertigation"": 1}"
hb_heihe43_early_density_weed_nutrient_recovery,scenario_full_season_hb_heihe43_early_density_weed_nutrient_recovery,heihe43_vc_weed_control,scenario_l2_hb_heihe43_early_weed_control,management,herbicide,9027.32,0.0,8828.2,9109.85,8665.06,-0.906,-100.0,False,0,,,{},{}
hb_heihe43_early_density_weed_nutrient_recovery,scenario_full_season_hb_heihe43_early_density_weed_nutrient_recovery,heihe43_r7_r8_harvest_dry_store,scenario_l2_hb_heihe43_r7_harvest_drydown_store,harvest,harvest_postharvest,9109.85,8641.74,9109.85,9109.85,8665.06,0.0,-0.269,False,0,,,"{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}","{""dry_grain"": 1, ""harvest"": 16, ""store_grain"": 1, ""unload_grain"": 16}"
hb_heinong58_water_chemical_priority_under_dual_stress,scenario_full_season_hb_heinong58_water_chemical_priority_under_dual_stress,establishment_planting,scenario_l2_hb_hn58_dual_stress_establishment_planting,establishment,planting,9195.37,0.0,0.0,9265.94,8297.29,-0.762,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
hb_heinong58_water_chemical_priority_under_dual_stress,scenario_full_season_hb_heinong58_water_chemical_priority_under_dual_stress,r5_irrigation_8_23,scenario_l2_hb_hn58_dual_stress_r5_irrigation_8_23,management,irrigation,9203.99,0.0,9195.37,9265.94,8297.29,-0.669,-100.0,False,0,,,"{""irrigate"": 1}","{""irrigate"": 1}"
hb_heinong58_water_chemical_priority_under_dual_stress,scenario_full_season_hb_heinong58_water_chemical_priority_under_dual_stress,r5_fungicide_40_55,scenario_l2_hb_hn58_dual_stress_r5_fungicide_40_55,management,fungicide,9261.88,0.0,9195.37,9265.94,8297.29,-0.044,-100.0,False,0,,,{},{}
hb_heinong58_water_chemical_priority_under_dual_stress,scenario_full_season_hb_heinong58_water_chemical_priority_under_dual_stress,harvest_window,scenario_l2_hb_hn58_dual_stress_harvest_window,harvest,harvest_postharvest,9231.85,8271.04,9231.85,9265.94,8297.29,-0.368,-0.316,False,0,,,"{""dry_grain"": 3, ""harvest"": 16, ""store_grain"": 3, ""unload_grain"": 16}","{""dry_grain"": 3, ""harvest"": 16, ""store_grain"": 3, ""unload_grain"": 16}"
hb_heinong60_highdensity_fertigation_irrigation_water_budget,scenario_full_season_hb_heinong60_highdensity_fertigation_irrigation_water_budget,establishment_planting,scenario_l2_hb_hn60_water_budget_establishment_planting,establishment,planting,9028.58,0.0,0.0,9139.34,8632.3,-1.212,-100.0,False,0,,,"{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}","{""base_fertilize"": 1, ""form_ridges"": 1, ""level"": 1, ""plant_seeds"": 16}"
